iter	Passed	Remaining
402	14705	21784
403	14736	21740
404	14764	21691
405	14797	21649
406	14829	21606
407	14861	21564
408	14913	21549
409	14948	21510
410	14979	21467
411	15010	21423
412	15040	21377
413	15070	21331
414	15101	21287
415	15132	21244
416	15165	21203
417	15197	21159
418	15230	21118
419	15260	21073
420	15289	21026
421	15318	20981
422	15349	20938
423	15379	20892
424	15410	20848
425	15440	20805
426	15468	20758
427	15501	20717
428	15531	20672
429	15562	20628
430	15593	20586
431	15625	20545
432	15657	20503
433	15690	20462
434	15717	20414
435	15748	20371
436	15781	20332
437	15813	20289
438	15845	20249
439	15883	20215
440	15914	20173
441	15943	20128
442	15974	20084
443	16004	20041
444	16034	19998
445	16065	19955
446	16097	19915
447	16129	19874
448	16162	19834
449	16196	19795
450	16227	19753
451	16256	19709
452	16285	19664
453	16314	19621
454	16346	19579
455	16377	19537
456	16406	19494
457	16436	19451
458	16468	19410
459	16502	19372
460	16535	19332
461	16567	19292
462	16597	19249
463	16630	19210
464	16659	19167
465	16690	19125
466	16721	19084
467	16752	19043
468	16782	19001
469	16811	18957
470	16850	18925
471	16876	18878
472	16908	18838
473	16939	18797
474	16967	18753
475	16998	18712
476	17029	18671
477	17061	18632
478	17094	18593
479	17124	18551
480	17158	18513
481	17190	18473
482	17222	18435
483	17256	18397
484	17288	18357
485	17350	18349
486	17393	18321
487	17423	18280
488	17452	18238
489	17482	18196
490	17512	18154
491	17541	18111
492	17571	18070
493	17604	18031
494	17633	17989
495	17666	17951
496	17700	17914
497	17731	17873
498	17763	17834
499	17795	17795
500	17845	17774
501	17889	17747
502	17949	17735
503	17997	17711
504	18027	17670
505	18063	17635
506	18110	17610
507	18160	17588
508	18202	17559
509	18240	17525
510	18270	17483
511	18303	17445
512	18336	17406
513	18367	17367
514	18401	17329
515	18446	17302
516	18489	17273
517	18530	17242
518	18570	17210
519	18597	17167
520	18628	17126
521	18657	17084
522	18686	17042
523	18717	17002
524	18755	16968
525	18798	16940
526	18848	16916
527	18896	16892
528	18929	16853
529	18960	16813
530	18992	16775
531	19025	16736
532	19055	16695
533	19087	16656
534	19119	16617
535	19149	16577
536	19196	16551
537	19241	16523
538	19315	16520
539	19355	16487
540	19397	16457
541	19436	16424
542	19468	16385
543	19508	16352
544	19552	16323
545	19600	16298
546	19662	16283
547	19703	16251
548	19749	16223
549	19790	16192
550	19852	16177
551	19911	16160
552	19957	16131
553	19995	16097
