iter	Logloss
0	0.6250097275
1	0.5657592516
2	0.5182481441
3	0.4779151507
4	0.4437075048
5	0.4131801701
6	0.3891800592
7	0.3658724111
8	0.3471415743
9	0.3303396278
10	0.3160441694
11	0.3039643724
12	0.2929995274
13	0.2838533381
14	0.2752972874
15	0.2677772004
16	0.259585564
17	0.2540943743
18	0.2491931453
19	0.2444374743
20	0.2403064895
21	0.2353649602
22	0.2317404452
23	0.2279969808
24	0.2245614955
25	0.2219603904
26	0.2185955323
27	0.2162031995
28	0.2138154634
29	0.2115010941
30	0.209673781
31	0.2075428015
32	0.2052032706
33	0.2037130475
34	0.2023380129
35	0.2008226949
36	0.1994932765
37	0.1975892348
38	0.1962584252
39	0.1953326961
40	0.1943391348
41	0.1932179814
42	0.1923331175
43	0.1909339494
44	0.1901480169
45	0.1890319335
46	0.1878055634
47	0.1869846905
48	0.1861841288
49	0.1851875593
50	0.1846336593
51	0.1836075548
52	0.182611308
53	0.1818491008
54	0.1811503513
55	0.1805659563
56	0.1801049374
57	0.1798139125
58	0.1790302067
59	0.1782032495
60	0.1773922495
61	0.1769584644
62	0.1760310728
63	0.1750508829
64	0.1744681024
65	0.1735394041
66	0.1727340018
67	0.1721105085
68	0.1713870437
69	0.1705865891
70	0.1701370199
71	0.1697569968
72	0.1693099612
73	0.1685800838
74	0.168174906
75	0.1677402974
76	0.1672891032
77	0.1665427651
78	0.1661945799
79	0.1655488062
80	0.1651171349
81	0.164504837
82	0.1639127573
83	0.1633192618
84	0.1629666002
85	0.1628057404
86	0.1625586119
87	0.1620197387
88	0.1616194428
89	0.1611294742
90	0.1607931758
91	0.1602780677
92	0.159924163
93	0.1595434814
94	0.1591239246
95	0.1589340077
96	0.1585236577
97	0.1579138827
98	0.15776036
99	0.1574858307
100	0.1571350981
101	0.1567693255
102	0.15639704
103	0.1560330423
104	0.1555875687
105	0.1553213307
106	0.1549343355
107	0.1544681731
108	0.1540694856
109	0.1536912534
110	0.1533443443
111	0.1528542935
112	0.1526699452
113	0.1520371386
114	0.1517863624
115	0.1514662391
116	0.1510812358
117	0.1508948624
118	0.1504685681
119	0.1503074017
120	0.149919275
121	0.1495084129
122	0.1493028322
123	0.1488784616
124	0.1486227484
125	0.1481940574
126	0.1478591063
127	0.1473780321
128	0.1471426255
129	0.1466867399
130	0.1465003159
131	0.1462082829
132	0.1460191938
133	0.1458004123
134	0.1454317406
135	0.1451248542
136	0.1448276429
137	0.1443966792
138	0.1441370185
139	0.1438943627
140	0.1435462762
141	0.1432843827
142	0.143128494
143	0.1430423305
144	0.1429397305
145	0.1425446896
146	0.1423122296
147	0.1420836201
148	0.1419114087
149	0.1416596407
150	0.1414272168
151	0.1411667714
152	0.1407721989
153	0.1405071299
154	0.1402043116
155	0.1399463035
156	0.1396944948
157	0.1393089843
158	0.1390275446
159	0.1387934764
160	0.1386825586
161	0.1383702921
162	0.1381980203
163	0.1380419278
164	0.1379183311
165	0.1377770652
166	0.1376501005
167	0.1374932253
168	0.137210858
169	0.1369788293
170	0.136754441
171	0.1365258898
172	0.1361458781
173	0.1359343075
174	0.1357492665
175	0.1354633756
176	0.1350776277
177	0.1347240142
178	0.1344992747
179	0.1342645637
180	0.1339924072
181	0.1337776775
